"procedureId","name","description","isMandatory","impcParameterOrigId"
1,"Insulin Blood Level","The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].",FALSE,21861
2,"Insulin Blood Level","The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].",FALSE,21862
3,"Insulin Blood Level","The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].",FALSE,21863
4,"Insulin Blood Level","The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].",FALSE,21864
5,"Insulin Blood Level","The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].",FALSE,21865
6,"Insulin Blood Level","The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].",FALSE,21866
7,"Insulin Blood Level","The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].",FALSE,21867
8,"Insulin Blood Level","The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].",FALSE,21868
9,"Insulin Blood Level","The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].",FALSE,21869
10,"Insulin Blood Level","The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].",FALSE,21870
11,"Insulin Blood Level","The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].",FALSE,21871
12,"Insulin Blood Level","The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].",FALSE,21872
13,"Insulin Blood Level","The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].",FALSE,21874
14,"Insulin Blood Level","The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].",FALSE,21875
15,"Insulin Blood Level","The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].",FALSE,21876
16,"Insulin Blood Level","The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].",FALSE,21877
17,"Insulin Blood Level","The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].",FALSE,21878
18,"Insulin Blood Level","The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].",FALSE,21879
19,"Insulin Blood Level","The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].",FALSE,21880
20,"Insulin Blood Level","The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].",FALSE,21881
21,"Insulin Blood Level","The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].",FALSE,21882
22,"Insulin Blood Level","The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].",FALSE,37903
23,"Electrocardiogram (ECG)","To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.",TRUE,28488
24,"Electrocardiogram (ECG)","To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.",TRUE,28489
25,"Electrocardiogram (ECG)","To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.",TRUE,28490
26,"Electrocardiogram (ECG)","To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.",TRUE,28491
27,"Electrocardiogram (ECG)","To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.",TRUE,28492
28,"Electrocardiogram (ECG)","To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.",TRUE,28493
29,"Electrocardiogram (ECG)","To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.",TRUE,28494
30,"Electrocardiogram (ECG)","To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.",TRUE,28495
31,"Electrocardiogram (ECG)","To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.",TRUE,28497
32,"Electrocardiogram (ECG)","To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.",TRUE,28499
33,"Electrocardiogram (ECG)","To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.",TRUE,28500
34,"Electrocardiogram (ECG)","To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.",TRUE,28501
35,"Electrocardiogram (ECG)","To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.",TRUE,28502
36,"Electrocardiogram (ECG)","To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.",TRUE,28503
37,"Electrocardiogram (ECG)","To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.",TRUE,28504
38,"Electrocardiogram (ECG)","To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.",TRUE,28505
39,"Electrocardiogram (ECG)","To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.",TRUE,28506
40,"Electrocardiogram (ECG)","To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.",TRUE,28507
41,"Electrocardiogram (ECG)","To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.",TRUE,28508
42,"Electrocardiogram (ECG)","To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.",TRUE,28509
43,"Electrocardiogram (ECG)","To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.",TRUE,28510
44,"Electrocardiogram (ECG)","To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.",TRUE,47618
45,"Electrocardiogram (ECG)","To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.",TRUE,28511
46,"Electrocardiogram (ECG)","To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.",TRUE,28512
